time,v1,v2,v3,v4,v5,v6,,a1,a2,a3,a4,a5,a6,,q1,q2,q3,q4,q5,q6
0.158,0.417831823,0.02964082,-0.111501853,-0.085207502,-6.59E-06,-1.97E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.545935334,-1.569032698,1.564161967,-1.575866173,-1.570796719,-1.17E-06
0.16,0.425162206,0.030160834,-0.113458025,-0.08670237,-6.70E-06,-2.00E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.545085009,-1.568972377,1.563935051,-1.576039578,-1.570796732,-1.21E-06
0.162,0.432492589,0.030680848,-0.115414198,-0.088197239,-6.82E-06,-2.04E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.544220024,-1.568911015,1.563704222,-1.576215973,-1.570796746,-1.25E-06
0.164,0.439822972,0.031200863,-0.117370371,-0.089692107,-6.93E-06,-2.07E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.543340378,-1.568848613,1.563469482,-1.576395357,-1.57079676,-1.29E-06
0.166,0.447153354,0.031720877,-0.119326544,-0.091186976,-7.05E-06,-2.11E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.542446071,-1.568785171,1.563230829,-1.576577731,-1.570796774,-1.34E-06
0.168,0.454483737,0.032240892,-0.121282717,-0.092681844,-7.17E-06,-2.14E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.541537104,-1.56872069,1.562988263,-1.576763094,-1.570796788,-1.38E-06
0.17,0.46181412,0.032760906,-0.12323889,-0.094176713,-7.28E-06,-2.18E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.540613476,-1.568655168,1.562741785,-1.576951448,-1.570796803,-1.42E-06
0.172,0.469144503,0.03328092,-0.125195062,-0.095671581,-7.40E-06,-2.21E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.539675187,-1.568588606,1.562491395,-1.577142791,-1.570796818,-1.47E-06
0.174,0.476474886,0.033800935,-0.127151235,-0.09716645,-7.51E-06,-2.25E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.538722237,-1.568521004,1.562237093,-1.577337124,-1.570796833,-1.51E-06
0.176,0.483805269,0.034320949,-0.129107408,-0.098661318,-7.63E-06,-2.28E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.537754626,-1.568452362,1.561978878,-1.577534447,-1.570796848,-1.56E-06
0.178,0.491135652,0.034840963,-0.131063581,-0.100156187,-7.74E-06,-2.31E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.536772355,-1.56838268,1.561716751,-1.577734759,-1.570796863,-1.60E-06
0.18,0.498466034,0.035360978,-0.133019754,-0.101651055,-7.86E-06,-2.35E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.535775423,-1.568311958,1.561450711,-1.577938061,-1.570796879,-1.65E-06
0.182,0.505796417,0.035880992,-0.134975927,-0.103145924,-7.97E-06,-2.38E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.53476383,-1.568240196,1.561180759,-1.578144353,-1.570796895,-1.70E-06
0.184,0.5131268,0.036401007,-0.1369321,-0.104640792,-8.09E-06,-2.42E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.533737576,-1.568167394,1.560906895,-1.578353634,-1.570796911,-1.75E-06
0.186,0.520457183,0.036921021,-0.138888272,-0.10613566,-8.21E-06,-2.45E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.532696662,-1.568093552,1.560629119,-1.578565906,-1.570796928,-1.80E-06
0.188,0.527787566,0.037441035,-0.140844445,-0.107630529,-8.32E-06,-2.49E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.531641087,-1.56801867,1.56034743,-1.578781167,-1.570796944,-1.85E-06
0.19,0.535117949,0.03796105,-0.142800618,-0.109125397,-8.44E-06,-2.52E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.530570851,-1.567942748,1.560061828,-1.578999418,-1.570796961,-1.90E-06
0.192,0.542448332,0.038481064,-0.144756791,-0.110620266,-8.55E-06,-2.56E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.529485954,-1.567865786,1.559772315,-1.579220658,-1.570796978,-1.95E-06
0.194,0.549778714,0.039001079,-0.146712964,-0.112115134,-8.67E-06,-2.59E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.528386397,-1.567787784,1.559478889,-1.579444888,-1.570796996,-2.00E-06
0.196,0.557109097,0.039521093,-0.148669137,-0.113610003,-8.78E-06,-2.63E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.527272179,-1.567708742,1.559181551,-1.579672108,-1.570797013,-2.05E-06
0.198,0.56443948,0.040041107,-0.15062531,-0.115104871,-8.90E-06,-2.66E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.5261433,-1.567628659,1.5588803,-1.579902318,-1.570797031,-2.10E-06
0.2,0.571769863,0.040561122,-0.152581482,-0.11659974,-9.01E-06,-2.69E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.52499976,-1.567547537,1.558575137,-1.580135518,-1.570797049,-2.16E-06
0.202,0.579100246,0.041081136,-0.154537655,-0.118094608,-9.13E-06,-2.73E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.52384156,-1.567465375,1.558266062,-1.580371707,-1.570797067,-2.21E-06
0.204,0.586430629,0.04160115,-0.156493828,-0.119589477,-9.25E-06,-2.76E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.522668698,-1.567382173,1.557953074,-1.580610886,-1.570797086,-2.27E-06
0.206,0.593761012,0.042121165,-0.158450001,-0.121084345,-9.36E-06,-2.80E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.521481176,-1.56729793,1.557636174,-1.580853055,-1.570797105,-2.32E-06
